ccaa,CODAUTO,consumo_l_persona,consumo_embotellada_norm,acceso_potable_pct,poblacion_norm,agua_no_potable_norm,estres_hidrico
Andalucía,1,59.47630633762021,0.358092552737381,91.41,1.0,0.1881081081081083,0.5743
Aragón,2,49.85196150999259,0.27453122491651466,74.45,0.14830481655854547,0.6464864864864864,0.42297
Asturias,3,44.09316154608524,0.2245316685563262,78.4,0.10829386151225733,0.5397297297297297,0.50914
C. de Madrid,13,18.232272792124412,0.0,78.36,0.810240441271698,0.5408108108108108,0.62905
C. Valenciana,10,83.2562511750329,0.5645568681489656,87.61,0.6125254879727888,0.29081081081081084,0.6742
Canarias,5,133.40929401251117,1.0,93.48,0.2520759192663161,0.13216216216216214,0.33777
Cantabria,6,59.207419898819566,0.3557580033980111,90.42,0.059625565315602785,0.2148648648648649,0.59098
Castilla y León,7,51.23797574236721,0.28656499882114217,97.98,0.26997555705018184,0.010540540540540544,0.55544
Castilla-La Mancha,8,70.19961977186311,0.4511954418433968,87.73,0.23639911231835528,0.2875675675675675,0.52235
Cataluña,9,83.61083374937593,0.5676354559661009,86.54,0.9275825111881512,0.3197297297297296,0.61298
Extremadura,11,68.4819734345351,0.4362823426928175,85.84,0.11355846086045315,0.33864864864864863,0.58489
Galicia,12,56.809611829944544,0.3349395446163162,73.59,0.3067107613909259,0.6697297297297296,0.52952
Islas Baleares,4,110.50365556458163,0.8011266639367198,61.37,0.13426588496335665,1.0,0.53072
La Rioja,17,53.39506172839506,0.30529343929626396,95.31,0.028154960323054538,0.08270270270270275,0.41375
Navarra,15,24.823008849557517,0.05722266462180844,90.9,0.06956980852886153,0.20189189189189183,0.48238
País Vasco,16,19.582397844634038,0.01172217373052402,76.1,0.2507890172034238,0.6018918918918921,0.5144
Región de Murcia,14,78.24742268041237,0.5210687796262008,98.37,0.17182002698048673,0.0,0.70204
Ceuta,18,68.79,0.43895671786072105,83.77,0.0,0.3945945945945948,0.55818
Melilla,19,93.73,0.6554929655926213,100.0,0.0002889680086676364,1.0,0.55818
