municipio,ccaa,provincia,ph_medio,dureza_media,parametros_ok,parametros_fuera_rango,n_muestras,n_potable,no_potabilidad
VIATOR,Andalucía,Almería,7.5636363636363635,1391.4166666666667,242,95,28,13,89.61393123907253
BELLMUNT DEL PRIORAT,Cataluña,Tarragona,7.666666666666667,897.1666666666666,46,27,9,0,87.65398706314626
LUCAINENA DE LAS TORRES,Andalucía,Almería,7.92,795.0,112,33,9,0,78.61092102883897
FORÈS,Cataluña,Tarragona,7.7,1203.0,14,5,2,0,76.76773840881651
RELLEU,Comunitat Valenciana,Alicante/Alacant,7.78,818.0,82,20,10,1,75.92848826485796
ADRA,Andalucía,Almería,7.74375,870.0,642,92,69,44,75.80144664988259
TORRENUEVA,Castilla - La Mancha,Ciudad Real,6.866666666666667,752.0,64,19,7,3,74.98437601513996
PRAT DE COMTE,Cataluña,Tarragona,6.683333333333334,978.5,109,16,7,2,73.74264321773055
CODO,Aragón,Zaragoza,7.35,1140.0,57,9,3,0,73.49250640781612
CASTELLAR DE SANTIAGO,Castilla - La Mancha,Ciudad Real,7.760000000000001,836.0,62,12,5,2,73.24420628259924
VILLANUEVA DE LAS TORRES,Andalucía,Granada,7.6,912.5,68,11,5,0,73.10170696216403
SANTANYÍ,"Balears, Illes",Balears (Illes),7.618604651162792,1196.0,1100,85,215,193,72.5542458652169
SABIÑÁN,Aragón,Zaragoza,8.0,995.5,75,10,8,2,72.40248765756542
BUSOT,Comunitat Valenciana,Alicante/Alacant,7.733333333333332,968.0,152,17,10,3,72.1461457627125
TORRALBA DEL PINAR,Comunitat Valenciana,Castellón/Castelló,7.7,996.5,70,9,6,2,72.03470656695879
ALBATANA,Castilla - La Mancha,Albacete,7.2,805.0,68,12,6,1,71.80918051258882
TORÀ,Cataluña,Lleida,7.525,1144.5,111,11,7,0,71.40503322298098
RUEDA DE JALÓN,Aragón,Zaragoza,7.25,1163.5,114,11,7,1,71.29850949874056
URREA DE JALÓN,Aragón,Zaragoza,7.3,1165.0,69,7,3,0,70.91719868544257
FUENTE-ÁLAMO,Castilla - La Mancha,Albacete,7.65,1077.0,57,6,3,0,70.73847730923595
HUÉRCAL-OVERA,Andalucía,Almería,7.823529411764706,1726.0,247,18,20,15,70.68853735793573
MEDIANA DE ARAGÓN,Aragón,Zaragoza,7.699999999999999,863.0,33,5,3,0,70.50716178867776
PARTALOA,Andalucía,Almería,7.633333333333333,1004.0,33,4,4,2,70.47799472643506
VILLARROBLEDO,Castilla - La Mancha,Albacete,7.371428571428572,926.5,146,13,9,0,70.31089840975197
NAVARDÚN,Aragón,Zaragoza,7.6,731.0,24,7,4,1,70.28680154520275
VALLIRANA,Cataluña,Barcelona,7.5582894736842094,928.818181818182,754,47,79,62,69.993216098305
CHINCHILLA DE MONTE-ARAGÓN,Castilla - La Mancha,Albacete,7.85,745.0,55,11,8,3,69.90264842601833
ARMUÑA DE ALMANZORA,Andalucía,Almería,7.733333333333333,1069.0,34,3,3,2,69.20441773233341
VERA,Andalucía,Almería,8.208108108108108,1515.6666666666667,491,23,40,33,69.18860062925812
VILLANUEVA DE ALCARDETE,Castilla - La Mancha,Toledo,7.6,908.0,54,5,2,1,69.10569002353445
VALENZUELA DE CALATRAVA,Castilla - La Mancha,Ciudad Real,6.6625,852.0,112,10,10,4,68.99265682315148
MONREAL DE ARIZA,Aragón,Zaragoza,7.7,898.0,69,6,4,1,68.98231345139097
ONTUR,Castilla - La Mancha,Albacete,7.533333333333334,916.0,73,6,5,2,68.97769097723466
BANYOLES,Cataluña,Girona,7.5,845.0,36,4,3,1,68.50689173548204
AINZÓN,Aragón,Zaragoza,7.65,829.5,84,8,7,4,68.50266336734931
BUSTE (EL),Aragón,Zaragoza,7.7,845.0,71,6,5,1,68.02879070558225
MORATA DE JALÓN,Aragón,Zaragoza,7.74,821.0,91,8,7,3,67.95884460518234
VILLALBA DE PEREJIL,Aragón,Zaragoza,8.066666666666666,872.0,66,5,4,2,67.94239714532873
VILLANUEVA DE SAN JUAN,Andalucía,Sevilla,7.7,882.0,64,3,3,2,66.40869065430472
PROVENCIO (EL),Castilla - La Mancha,Cuenca,7.7,828.0,120,6,5,2,66.01429694071825
TARANCÓN,Castilla - La Mancha,Cuenca,8.02,745.2,219,17,13,4,65.31040915508386
ALAMEDA,Andalucía,Málaga,7.264285714285714,704.3333333333334,170,20,17,10,64.86932308501767
DEHESAS DE GUADIX,Andalucía,Granada,7.65,688.0,78,13,7,1,64.77119007662192
LUMPIAQUE,Aragón,Zaragoza,7.58,762.5,105,7,7,3,64.72334187281648
TORRES TORRES,Comunitat Valenciana,Valencia/València,7.599999999999999,777.0,115,6,7,4,64.5002084853633
RICLA,Aragón,Zaragoza,7.425806451612904,734.0,230,16,34,26,64.11371652636232
URRIÉS,Aragón,Zaragoza,7.866666666666666,730.0,50,5,5,3,63.97229109992932
GÁDOR,Andalucía,Almería,7.566666666666667,764.0,199,9,21,18,63.828897882754376
VILLATOBAS,Castilla - La Mancha,Toledo,7.475,763.0,82,3,4,3,62.673083817202645
FUENDEJALÓN,Aragón,Zaragoza,7.925,661.0,64,12,9,3,62.295265294769074
BORJA,Aragón,Zaragoza,7.775,727.5,93,4,5,3,61.154263309646936
MEDIONA,Cataluña,Barcelona,7.636363636363637,683.0,173,14,18,8,60.45361441650836
ANDORRA,Aragón,Teruel,7.471428571428571,681.5,144,12,11,4,60.24966573003909
ALMUNIA DE DOÑA GODINA (LA),Aragón,Zaragoza,7.5,698.5,127,7,9,6,59.91394554311466
CABEZAMESADA,Castilla - La Mancha,Toledo,7.9,694.0,54,4,2,1,59.87738544780006
POZO CAÑADA,Castilla - La Mancha,Albacete,7.576595744680851,721.0,602,10,94,89,59.44258650726043
POZUELO DE ARAGÓN,Aragón,Zaragoza,7.4,687.0,19,2,3,2,59.39773691538548
ORÉS,Aragón,Zaragoza,7.8,675.0,38,4,4,2,59.07783669814044
PIRA,Cataluña,Tarragona,7.955172413793104,714.0,641,9,363,358,58.69797182158152
MORAL DE CALATRAVA,Castilla - La Mancha,Ciudad Real,7.166666666666667,697.0,136,5,10,9,58.57138256815004
ÀGER,Cataluña,Lleida,7.76,650.0,105,13,7,0,58.39424366795163
FUENTES DE JILOCA,Aragón,Zaragoza,7.9,653.0,45,6,5,2,57.8979646572503
LANTARÓN,País Vasco,Alava,7.853333333333333,677.0,566,23,51,33,57.66543938548322
