municipio,CODAUTO,CPRO,CMUN,provincia,longitud,latitud,generacion_litros,generacion_norm,no_potabilidad
VIATOR,1,4,101,Almería,"-2,428452","36,887903",15.1,0.7784618890909208,89.61393123907253
BELLMUNT DEL PRIORAT,9,43,23,Tarragona,"0,759751","41,158892",13.112731000000004,0.6214717032536644,87.65398706314626
LUCAINENA DE LAS TORRES,1,4,60,Almería,"-2,154261","37,0419",15.1,0.7784618890909208,78.61092102883897
FORÈS,9,43,61,Tarragona,"1,230688","41,492142",13.112731000000004,0.6214717032536644,76.76773840881651
RELLEU,10,3,112,Alicante/Alacant,"-0,339402","38,571314",14.3,0.7152635255730452,75.92848826485796
ADRA,1,4,3,Almería,"-3,01589","36,747327",15.1,0.7784618890909208,75.80144664988259
TORRENUEVA,8,13,85,Ciudad Real,"-3,390656","38,664524",8.8,0.2807747763876498,74.98437601513996
PRAT DE COMTE,9,43,117,Tarragona,"0,41147","40,975243",13.112731000000004,0.6214717032536644,73.74264321773055
CODO,2,50,85,Zaragoza,"-0,681306","41,340325",8.0,0.217576412869774,73.49250640781612
CASTELLAR DE SANTIAGO,8,13,33,Ciudad Real,"-3,280642","38,55903",8.8,0.2807747763876498,73.24420628259924
VILLANUEVA DE LAS TORRES,1,18,187,Granada,"-3,111673","37,530476",7.7,0.1938770265505707,73.10170696216403
SANTANYÍ,4,7,57,"Balears, Illes","3,131486","39,376372",14.5,0.731063116452514,72.5542458652169
SABIÑÁN,2,50,241,Zaragoza,"-1,558701","41,449116",8.0,0.217576412869774,72.40248765756542
BUSOT,10,3,46,Alicante/Alacant,"-0,418488","38,500938",14.3,0.7152635255730452,72.1461457627125
TORRALBA DEL PINAR,10,12,116,Castellón/Castelló,"-0,449164","39,994877",13.7,0.6678647529346383,72.03470656695879
ALBATANA,8,2,4,Albacete,"-1,515862","38,576168",7.2,0.1543780493518983,71.80918051258882
TORÀ,9,25,223,Lleida,"1,442408","41,841921",10.47953,0.4134542107366219,71.40503322298098
RUEDA DE JALÓN,2,50,228,Zaragoza,"-1,348762","41,677064",8.0,0.217576412869774,71.29850949874056
URREA DE JALÓN,2,50,269,Zaragoza,"-1,226918","41,648713",8.0,0.217576412869774,70.91719868544257
FUENTE-ÁLAMO,8,2,33,Albacete,"-1,438859","38,727273",7.2,0.1543780493518983,70.73847730923595
HUÉRCAL-OVERA,1,4,53,Almería,"-1,944614","37,384666",15.1,0.7784618890909208,70.68853735793573
MEDIANA DE ARAGÓN,2,50,164,Zaragoza,"-0,729601","41,449628",8.0,0.217576412869774,70.50716178867776
PARTALOA,1,4,72,Almería,"-2,229966","37,410889",15.1,0.7784618890909208,70.47799472643506
VILLARROBLEDO,8,2,81,Albacete,"-2,605283","39,264756",7.2,0.1543780493518983,70.31089840975197
NAVARDÚN,2,50,186,Zaragoza,"-1,129269","42,50418",8.0,0.217576412869774,70.28680154520275
VALLIRANA,9,8,295,Barcelona,"1,935567","41,38808",12.4,0.5651674122180903,69.993216098305
CHINCHILLA DE MONTE-ARAGÓN,8,2,29,Albacete,"-1,706497","38,852784",7.2,0.1543780493518983,69.90264842601833
ARMUÑA DE ALMANZORA,1,4,18,Almería,"-2,416141","37,356647",15.1,0.7784618890909208,69.20441773233341
VERA,1,4,100,Almería,"-1,870192","37,246621",15.1,0.7784618890909208,69.18860062925812
VILLANUEVA DE ALCARDETE,8,45,192,Toledo,"-3,038957","39,705018",8.060300000000002,0.222339989519934,69.10569002353445
VALENZUELA DE CALATRAVA,8,13,88,Ciudad Real,"-3,786462","38,837452",8.8,0.2807747763876498,68.99265682315148
MONREAL DE ARIZA,2,50,172,Zaragoza,"-2,116027","41,287605",8.0,0.217576412869774,68.98231345139097
ONTUR,8,2,56,Albacete,"-1,495007","38,634766",7.2,0.1543780493518983,68.97769097723466
BANYOLES,9,17,15,Girona,"2,765446","42,120722",11.1,0.4624700715015423,68.50689173548204
AINZÓN,2,50,6,Zaragoza,"-1,530398","41,772059",8.0,0.217576412869774,68.50266336734931
MORATA DE JALÓN,2,50,175,Zaragoza,"-1,460817","41,443313",8.0,0.217576412869774,67.95884460518234
VILLALBA DE PEREJIL,2,50,286,Zaragoza,"-1,55658","41,332384",8.0,0.217576412869774,67.94239714532873
VILLANUEVA DE SAN JUAN,1,41,100,Sevilla,"-5,185412","37,071672",10.807375000000002,0.4393532950960195,66.40869065430472
TARANCÓN,8,16,203,Cuenca,"-2,975477","40,031575",6.2,0.0753800949545537,65.31040915508386
ALAMEDA,1,29,1,Málaga,"-4,654781","37,203413",14.873976250000004,0.7606064751957043,64.86932308501767
DEHESAS DE GUADIX,1,18,64,Granada,"-3,078589","37,594242",7.7,0.1938770265505707,64.77119007662192
LUMPIAQUE,2,50,150,Zaragoza,"-1,354274","41,642398",8.0,0.217576412869774,64.72334187281648
TORRES TORRES,10,46,245,Valencia/València,"-0,383337","39,731716",14.060594425,0.696350974876725,64.5002084853633
RICLA,2,50,225,Zaragoza,"-1,43462","41,543302",8.0,0.217576412869774,64.11371652636232
URRIÉS,2,50,270,Zaragoza,"-1,106003","42,547399",8.0,0.217576412869774,63.97229109992932
GÁDOR,1,4,47,Almería,"-2,507436","36,95595",15.1,0.7784618890909208,63.828897882754376
VILLATOBAS,8,45,198,Toledo,"-3,291038","39,89727",8.060300000000002,0.222339989519934,62.673083817202645
FUENDEJALÓN,2,50,113,Zaragoza,"-1,459955","41,732977",8.0,0.217576412869774,62.295265294769074
BORJA,2,50,55,Zaragoza,"-1,526877","41,827424",8.0,0.217576412869774,61.154263309646936
MEDIONA,9,8,122,Barcelona,"1,632412","41,480993",12.4,0.5651674122180903,60.45361441650836
ANDORRA,2,44,25,Teruel,"-0,448894","40,9864",5.245796875,0.0,60.24966573003909
CABEZAMESADA,8,45,27,Toledo,"-3,091525","39,825291",8.060300000000002,0.222339989519934,59.87738544780006
POZO CAÑADA,8,2,901,Albacete,"-1,786562","38,810715",7.2,0.1543780493518983,59.44258650726043
POZUELO DE ARAGÓN,2,50,216,Zaragoza,"-1,380877","41,752918",8.0,0.217576412869774,59.39773691538548
ORÉS,2,50,197,Zaragoza,"-1,011317","42,259967",8.0,0.217576412869774,59.07783669814044
PIRA,9,43,107,Tarragona,"1,192508","41,420621",13.112731000000004,0.6214717032536644,58.69797182158152
MORAL DE CALATRAVA,8,13,58,Ciudad Real,"-3,618563","38,829925",8.8,0.2807747763876498,58.57138256815004
ÀGER,9,25,2,Lleida,"0,738969","42,000631",10.47953,0.4134542107366219,58.39424366795163
FUENTES DE JILOCA,2,50,116,Zaragoza,"-1,548043","41,226229",8.0,0.217576412869774,57.8979646572503
LANTARÓN,16,1,902,Araba/Álava,"-3,014213","42,755568",8.2,0.2333760037492429,57.66543938548322
MURERO,2,50,184,Zaragoza,"-1,495047","41,158527",8.0,0.217576412869774,57.39638867711337
SANTA MARGALIDA,4,7,55,"Balears, Illes","3,089028","39,70262",14.5,0.731063116452514,56.958686559380034
